INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('1', 'Linda Lutz', 'Every have morning big.', 'BJ', '1929-01-08', 145);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('2', 'Karen Moss', 'Again lose the factor. Loss say imagine goal.', 'AF', '1962-08-18', 174);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('3', 'Teresa Mckenzie', 'Agreement contain data kind tell mind cell.', 'GR', '1969-12-11', 105);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('4', 'Renee Glenn', 'Benefit other recent member near standard.', 'TH', '1986-03-11', 49);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('5', 'Matthew Morales', 'Turn prepare education.', 'AE', '1943-03-08', 130);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('6', 'Ashley Peterson', 'View stand between either.', 'MU', '1936-01-16', 132);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('7', 'Nicole Johnson', 'Gas wide from parent sea commercial heart.', 'ZA', '2000-08-30', 169);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('8', 'Mary Weiss', 'Teacher most yard market follow another.', 'ZM', '1970-02-20', 109);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('9', 'Sabrina Allen', 'Space place moment guy color strategy hotel.', 'GA', '1964-07-06', 117);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('10', 'Vanessa Fleming', 'Figure sign someone important kind news how.', 'FR', '1988-09-11', 150);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('11', 'Leah Beltran', 'Feeling main network image choice alone western.', 'IL', '1987-05-04', 46);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('12', 'Mr. Jose Howard DDS', 'Animal use think picture.', 'TW', '1987-04-13', 91);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('13', 'Margaret Wilson', 'Economy Mr little that floor attention upon.', 'NA', '2006-08-27', 72);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('14', 'Deborah Obrien', 'Safe decade soon ago policy decade.', 'GM', '1973-01-18', 118);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('15', 'Debra Hayes', 'Change themselves color industry. Simple her see.', 'AO', '1938-04-27', 24);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('16', 'Kevin Edwards', 'Carry similar population.', 'NE', '1985-03-28', 8);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('17', 'Amy Frye', 'After pull miss whose you then prevent.', 'BD', '1988-12-17', 66);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('18', 'Victoria Cantu', 'Central front picture too occur assume discuss.', 'PH', '1940-08-23', 84);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('19', 'Jenna Mcintosh', 'Record might report I bar stay must.', 'CH', '1932-02-08', 140);
INSERT INTO artists (artist_id, name, bio, country, date_of_birth, genre_id) VALUES ('20', 'Vanessa Nichols', 'Put short good single how often.', 'ZW', '1945-07-17', 72);
