INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (1, 4, 'credit_card', 'Visa', '0255', '2026-12-25', 'tok_4a130d52ffa8436e99ee');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (2, 5, 'credit_card', 'Discover', '1344', '2030-09-26', 'tok_b53177334b1845e2ad78');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (3, 8, 'credit_card', 'American Express', '6345', '2027-07-12', 'tok_940a4d194c87405dbc8b');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (4, 11, 'credit_card', 'MasterCard', '4485', '2027-06-24', 'tok_1e1f399dfb2c4f48a779');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (5, 13, 'credit_card', 'JCB', '8479', '2030-02-22', 'tok_5a9b8db754a644449526');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (6, 17, 'credit_card', 'JCB', '6481', '2029-02-07', 'tok_239df4f856f7494dbdb3');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (7, 26, 'credit_card', 'American Express', '3416', '2030-02-14', 'tok_71362c2157f141c88fdc');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (8, 26, 'google_pay', 'Visa', '5674', '2026-06-06', 'tok_8b7302b3a2c841379a2a');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (9, 29, 'google_pay', 'JCB', '3223', '2028-12-27', 'tok_06914c5d72324c68a64a');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (10, 29, 'credit_card', 'JCB', '0038', '2027-01-22', 'tok_ef9f0967ccf649c494de');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (11, 31, 'credit_card', 'MasterCard', '5218', '2027-11-08', 'tok_b2df3ec9b86549db9fac');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (12, 32, 'credit_card', 'Discover', '7517', '2030-05-04', 'tok_aec6cb0f678f45af990e');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (13, 32, 'credit_card', 'Discover', '4922', '2026-01-08', 'tok_deb10f5c774a4231bfbe');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (14, 34, 'credit_card', 'Discover', '9775', '2029-04-17', 'tok_8e128fd1a7284b1d9226');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (15, 35, 'credit_card', 'American Express', '2738', '2030-10-19', 'tok_335ad6bc030a40eab157');
INSERT INTO payment_methods (method_id, user_id, method_type, card_brand, card_last4, expiry_date, token) VALUES (16, 44, 'credit_card', 'JCB', '6267', '2028-09-23', 'tok_49242a70752944c89d4f');
