INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('lauren82', 'allison24@example.org', '766-665-3218', '%8eeUmdhoY', '1961-11-03', 'IL', 'Premium', 'https://source.unsplash.com/featured/?spotify_lauren82.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('lcruz', 'matthewthompson@example.org', '(962)294-3226x9014', '@jJ1k5rY+8', '1959-09-25', 'PE', 'Premium', 'https://source.unsplash.com/featured/?spotify_lcruz.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('quinnmaurice', 'richard32@example.com', '946.319.5660x515', '7+I%0Oh+Fn', '1948-02-23', 'SY', 'Free', 'https://source.unsplash.com/featured/?spotify_quinnmaurice.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('randallblake', 'novakkaren@example.org', '716.901.2620x41739', '+2vQMxnUHQ', '1964-07-25', 'SN', 'Free', 'https://source.unsplash.com/featured/?spotify_randallblake.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('hcurtis', 'qeaton@example.com', '001-459-863-6413x8175', 'nOmDY4Ao*$', '1932-06-19', 'PH', 'Free', 'https://source.unsplash.com/featured/?spotify_hcurtis.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('barbarabrown', 'gmcguire@example.com', '+1-734-338-3861', '$nOdMzdKO7', '1933-05-06', 'NL', 'Free', 'https://source.unsplash.com/featured/?spotify_barbarabrown.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('qschultz', 'robinsonveronica@example.org', '+1-242-692-0537x853', 'A71WF+Pw$u', '1947-09-12', 'US', 'Premium', 'https://source.unsplash.com/featured/?spotify_qschultz.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('donaldberger', 'rachelrice@example.net', '(623)850-3260x47142', '!BKp4L@v76', '1947-11-01', 'SS', 'Free', 'https://source.unsplash.com/featured/?spotify_donaldberger.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('yperkins', 'turnerkathleen@example.org', '(590)978-9958', ')P^EHKBp5q', '1975-05-23', 'TZ', 'Premium', 'https://source.unsplash.com/featured/?spotify_yperkins.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('davismolly', 'jonesangela@example.org', '825.544.8919x9149', '+Gu3G56ce7', '1982-03-25', 'GB', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_davismolly.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('david64', 'brittany26@example.com', '989-798-0571x80311', '^35@iZyWW!', '1995-09-14', 'SA', 'Premium', 'https://source.unsplash.com/featured/?spotify_david64.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('parkerkelly', 'xlopez@example.net', '(729)784-6170x72296', '*Bh2JP@t%q', '1935-07-05', 'MZ', 'Free', 'https://source.unsplash.com/featured/?spotify_parkerkelly.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('kimberly09', 'sierrasmith@example.org', '573.676.6790', '@9Go*aDsm7', '1992-12-25', 'BE', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_kimberly09.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('curtis89', 'cbennett@example.net', '347-688-1826', '*^h_M_GT2q', '1999-07-09', 'ZW', 'Free', 'https://source.unsplash.com/featured/?spotify_curtis89.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('johnwright', 'jeffreyjackson@example.org', '4357852646', 'f&8AcQBYWg', '1988-04-20', 'GW', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_johnwright.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('mcintyresarah', 'michelle85@example.org', '001-792-431-8834x8879', 'mUAJ4wBc*9', '1990-09-12', 'ZW', 'Premium', 'https://source.unsplash.com/featured/?spotify_mcintyresarah.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('tasharice', 'michelle83@example.net', '292-387-4898x12583', '%RpTe1Rl^Z', '1972-10-09', 'GN', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_tasharice.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('melissa97', 'brownashley@example.org', '(785)392-6647', 'BJoZ3Kss^a', '1953-02-12', 'ST', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_melissa97.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('hartluke', 'daviladana@example.org', '+1-493-332-9236', '!W9CM%v926', '1973-05-28', 'AR', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_hartluke.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('blackburnchristopher', 'sawyergabriel@example.org', '+1-296-350-6235x9414', '!5PQq)m9Da', '1969-12-06', 'ZM', 'Free', 'https://source.unsplash.com/featured/?spotify_blackburnchristopher.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('xflores', 'adrienne09@example.net', '5934197390', 'kL9N*#cp!2', '1955-10-13', 'GQ', 'Free', 'https://source.unsplash.com/featured/?spotify_xflores.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('wrubio', 'michaeljohnson@example.org', '644-889-6931x720', '^5nPSZlyeX', '1945-01-09', 'RW', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_wrubio.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('nguyenelizabeth', 'anitavargas@example.net', '+1-937-670-1213x35920', 'Py5Pf)Id(1', '1971-05-18', 'PL', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_nguyenelizabeth.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('jessicalewis', 'martinezmark@example.org', '001-866-311-2996x52770', ')I4zEE3z+(', '1940-01-09', 'SZ', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_jessicalewis.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('alexanderbaker', 'gonzalezjoel@example.com', '205.559.9290x1192', 's7eh8Txe^t', '1977-10-13', 'EG', 'Free', 'https://source.unsplash.com/featured/?spotify_alexanderbaker.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('hoffmanmichael', 'jodi69@example.org', '001-245-652-3923x36945', '2$7PTKc!90', '2001-01-14', 'DE', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_hoffmanmichael.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('amandasmith', 'james74@example.net', '001-526-416-5392x653', 'h6gO9MBz$#', '1966-03-05', 'MZ', 'Premium', 'https://source.unsplash.com/featured/?spotify_amandasmith.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('timothylewis', 'kelly32@example.com', '555-567-4264x451', 'UlR%7Arfin', '1978-03-26', 'NL', 'Premium', 'https://source.unsplash.com/featured/?spotify_timothylewis.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('aprillee', 'scottjoseph@example.com', '2978760386', 'Zzez2DrVv)', '1992-04-17', 'IQ', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_aprillee.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('smithpamela', 'diana07@example.org', '(278)461-8765', '&aGknZXAD9', '1964-10-17', 'MZ', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_smithpamela.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('jason07', 'sgarcia@example.com', '+1-593-809-7522x2948', '$Q9YFsJ%Y#', '1966-01-13', 'BF', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_jason07.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('uherrera', 'lisa86@example.net', '+1-994-337-1946x4736', 'c*39uYwv2^', '1963-03-20', 'ZA', 'Premium', 'https://source.unsplash.com/featured/?spotify_uherrera.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('jeffery18', 'georgegina@example.net', '(583)541-5283x00849', '!Z1ZHs(iUl', '1982-09-21', 'LB', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_jeffery18.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('ywilson', 'preed@example.com', '448.799.8007', 'M026XSUkm!', '1971-11-23', 'SE', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_ywilson.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('cynthiasanchez', 'adammosley@example.com', '(282)778-7406', ')!AKCWsko8', '1967-03-06', 'BF', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_cynthiasanchez.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('veronicagutierrez', 'pacemartha@example.net', '630-619-3903', '%wP$Xq(nP9', '1968-02-03', 'BF', 'Premium', 'https://source.unsplash.com/featured/?spotify_veronicagutierrez.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('ykelley', 'richard49@example.net', '961-952-0964', 'N#1ZpINF*6', '1958-05-10', 'MG', 'Premium', 'https://source.unsplash.com/featured/?spotify_ykelley.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('robinsonnancy', 'robert65@example.com', '289-868-8510x7749', 'D_+71$FakG', '1975-04-19', 'MZ', 'Premium', 'https://source.unsplash.com/featured/?spotify_robinsonnancy.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('kim14', 'tbutler@example.net', '2255685726', 'Nk1UsPpI&#', '1961-05-13', 'ET', 'Free', 'https://source.unsplash.com/featured/?spotify_kim14.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('nathanieldowns', 'monica25@example.org', '001-416-863-0281x9518', '$8SC_vfm5^', '1959-02-07', 'SZ', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_nathanieldowns.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('edward76', 'rcrawford@example.net', '+1-611-965-0898x707', 'px+SEaTZ&7', '1964-12-25', 'KE', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_edward76.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('thomasdonaldson', 'douglaslaura@example.net', '001-964-759-5726x270', '!5Ae^nUw*L', '1994-09-06', 'BW', 'Premium', 'https://source.unsplash.com/featured/?spotify_thomasdonaldson.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('deborah83', 'jose96@example.net', '001-368-648-0458x659', '^b+GPL1eV8', '1929-12-19', 'KR', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_deborah83.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('warddonna', 'hrivas@example.net', '946.767.6715x18151', '&b)!0uKfze', '1965-10-30', 'ZM', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_warddonna.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('jmontgomery', 'ingrambrian@example.com', '001-869-822-0818', '*2S!2olsMm', '1974-05-12', 'TW', 'Premium', 'https://source.unsplash.com/featured/?spotify_jmontgomery.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('hosborne', 'pkennedy@example.net', '850-243-1021x98173', '*pJBU$rbm7', '1961-06-27', 'JP', 'Premium', 'https://source.unsplash.com/featured/?spotify_hosborne.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('omarshall', 'sandersmelissa@example.org', '(987)506-5536', '+$Rr8lmy8j', '2006-01-24', 'PT', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_omarshall.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('woodsmarvin', 'portermegan@example.net', '+1-851-730-9852', '$ot0flBnwc', '1936-03-16', 'SN', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_woodsmarvin.jpeg');
